"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/.mcp_config.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/README.md", "Markdown", 0, 0, 0, 110, 0, 0, 0, 0, 37, 147
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/appwrite.json", "JSON", 0, 0, 0, 0, 362, 0, 0, 0, 0, 362
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/jest.config.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 18, 17, 101
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/jest.setup.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 17, 18, 179
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/next.config.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/package-lock.json", "JSON", 0, 0, 0, 0, 12397, 0, 0, 0, 1, 12398
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 1, 47
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 161, 0, 4, 20, 185
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/(auth)/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 9, 25, 231
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/auth/callback/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 2, 8, 55
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/calendar/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 1, 14, 108
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/contacts/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 872, 0, 26, 61, 959
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/contacts/add/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 340, 0, 3, 31, 374
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/contacts/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 373, 0, 7, 28, 408
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 492, 0, 22, 46, 560
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 86, 9, 25, 120
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 6, 50
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 162, 0, 12, 18, 192
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 470, 0, 11, 39, 520
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/auth/auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 9, 19, 174
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/dashboard/calendar-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 339, 0, 18, 43, 400
