Date : 2025-07-05 01:03:18
Directory : /Users/williamsmith/Documents/GITHUB/FriendlyReminder
Total : 88 files,  24294 codes, 564 comments, 1816 blanks, all 26674 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     12,822 |          0 |          2 |     12,824 |
| TypeScript JSX     |         35 |      5,973 |        203 |        732 |      6,908 |
| TypeScript         |         41 |      4,965 |        313 |        977 |      6,255 |
| JavaScript         |          5 |        311 |         39 |         42 |        392 |
| Markdown           |          1 |        110 |          0 |         37 |        147 |
| PostCSS            |          1 |         86 |          9 |         25 |        120 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         88 |     24,294 |        564 |      1,816 |     26,674 |
| . (Files)                                                                                                     |         12 |     13,278 |         40 |         85 |     13,403 |
| src                                                                                                           |         76 |     11,016 |        524 |      1,731 |     13,271 |
| src (Files)                                                                                                   |          1 |         67 |         13 |         18 |         98 |
| src/app                                                                                                       |         12 |      3,335 |        106 |        321 |      3,762 |
| src/app (Files)                                                                                               |          3 |        292 |         21 |         49 |        362 |
| src/app/(auth)                                                                                                |          2 |        358 |         13 |         45 |        416 |
| src/app/(auth)/login                                                                                          |          1 |        161 |          4 |         20 |        185 |
| src/app/(auth)/signup                                                                                         |          1 |        197 |          9 |         25 |        231 |
| src/app/auth                                                                                                  |          1 |         45 |          2 |          8 |         55 |
| src/app/auth/callback                                                                                         |          1 |         45 |          2 |          8 |         55 |
| src/app/calendar                                                                                              |          1 |         93 |          1 |         14 |        108 |
| src/app/contacts                                                                                              |          3 |      1,585 |         36 |        120 |      1,741 |
| src/app/contacts (Files)                                                                                      |          1 |        373 |          7 |         28 |        408 |
| src/app/contacts/[id]                                                                                         |          1 |        872 |         26 |         61 |        959 |
| src/app/contacts/add                                                                                          |          1 |        340 |          3 |         31 |        374 |
| src/app/dashboard                                                                                             |          1 |        492 |         22 |         46 |        560 |
| src/app/settings                                                                                              |          1 |        470 |         11 |         39 |        520 |
| src/components                                                                                                |         25 |      2,735 |        109 |        438 |      3,282 |
| src/components/auth                                                                                           |          1 |        146 |          9 |         19 |        174 |
| src/components/dashboard                                                                                      |          2 |        644 |         32 |         89 |        765 |
| src/components/layout                                                                                         |          1 |        277 |         31 |         28 |        336 |
| src/components/ui                                                                                             |         21 |      1,668 |         37 |        302 |      2,007 |
| src/components/ui (Files)                                                                                     |         15 |      1,036 |         24 |        113 |      1,173 |
| src/components/ui/__tests__                                                                                   |          6 |        632 |         13 |        189 |        834 |
| src/hooks                                                                                                     |          7 |        405 |         41 |         92 |        538 |
| src/hooks (Files)                                                                                             |          6 |        324 |         37 |         69 |        430 |
| src/hooks/__tests__                                                                                           |          1 |         81 |          4 |         23 |        108 |
| src/lib                                                                                                       |         31 |      4,474 |        255 |        862 |      5,591 |
| src/lib/appwrite                                                                                              |          4 |        148 |         10 |         26 |        184 |
| src/lib/services                                                                                              |          5 |      1,232 |         91 |        206 |      1,529 |
| src/lib/services (Files)                                                                                      |          4 |        985 |         85 |        130 |      1,200 |
| src/lib/services/__tests__                                                                                    |          1 |        247 |          6 |         76 |        329 |
| src/lib/types                                                                                                 |          7 |        596 |         50 |         70 |        716 |
| src/lib/utils                                                                                                 |         15 |      2,498 |        104 |        560 |      3,162 |
| src/lib/utils (Files)                                                                                         |          9 |      1,022 |         95 |        200 |      1,317 |
| src/lib/utils/__tests__                                                                                       |          6 |      1,476 |          9 |        360 |      1,845 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/.mcp_config.json                                        | JSON               |         17 |          0 |          0 |         17 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/README.md                                               | Markdown           |        110 |          0 |         37 |        147 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/appwrite.json                                           | JSON               |        362 |          0 |          0 |        362 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/eslint.config.mjs                                       | JavaScript         |         12 |          0 |          5 |         17 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/jest.config.js                                          | JavaScript         |         66 |         18 |         17 |        101 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/jest.setup.js                                           | JavaScript         |        144 |         17 |         18 |        179 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/next.config.ts                                          | TypeScript         |          8 |          1 |          3 |         12 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/package-lock.json                                       | JSON               |     12,397 |          0 |          1 |     12,398 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/package.json                                            | JSON               |         46 |          0 |          1 |         47 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/postcss.config.mjs                                      | JavaScript         |          6 |          1 |          1 |          8 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/(auth)/login/page.tsx                           | TypeScript JSX     |        161 |          4 |         20 |        185 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/(auth)/signup/page.tsx                          | TypeScript JSX     |        197 |          9 |         25 |        231 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/auth/callback/page.tsx                          | TypeScript JSX     |         45 |          2 |          8 |         55 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/calendar/page.tsx                               | TypeScript JSX     |         93 |          1 |         14 |        108 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/contacts/[id]/page.tsx                          | TypeScript JSX     |        872 |         26 |         61 |        959 |
| /Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/app/contacts/add/page.tsx                           | TypeScript JSX     |        340 |          3 |         31 |        374 |
